category,name,glycemic_index,glycemic_load,calories (kcal),proteins (g),carbohydrates (g),fats (g)
Beverages,Tomato juice,35.0,1.5,17.0,0.8,4.2,0.1
Beverages,Apple juice (sugar free),50.0,5.7,47.0,0.11,11.3,0.14
Beverages,Orange juice,48.0,4.8,45.0,0.7,10.0,0.2
Beverages,Apple juice,41.0,4.5,46.0,0.1,11.0,0.1
Beverages,Sports drinks,75.0,2.9,16.0,0.0,3.9,0.0
Beverages,Chicory,15.0,0.6,21.0,1.7,4.1,0.2
Beverages,Chicory (drink),40.0,1.1,11.0,0.1,2.8,0.0
Beverages,Apple cider (brut),40.0,0.0,33.0,0.0,0.0,26.1
Beverages,Apple Juice (unsweetened),40.0,4.9,49.0,0.1,12.2,0.1
Baked products,Baguette (white),95.0,46.5,240.0,7.5,49.0,2.5
Baked products,Baguette (whole grain),73.0,28.3,219.0,6.3,38.8,1.2
Baked products,Bagel (wheat),70.0,35.4,257.0,10.0,50.5,1.6
Baked products,Biscuit,70.0,34.0,365.0,6.2,48.5,16.5
Baked products,Biscotti (dry cookies),70.0,35.0,358.0,6.0,50.0,15.0
Baked products,Pancakes,66.0,16.6,185.0,5.5,25.2,7.5
Baked products,Buckwheat pancakes,40.0,3.6,215.0,6.0,9.0,25.6
Baked products,Brioche (bun),70.0,32.9,236.0,5.0,47.0,4.0
Baked products,Bagels,70.0,48.1,312.0,10.4,68.7,1.3
Baked products,Hamburger bun,61.0,30.1,279.0,9.5,49.4,4.3
Baked products,Waffles,75.0,54.3,433.0,6.6,72.4,14.2
Baked products,Crackers,80.0,10.0,88.0,1.8,12.5,3.2
Baked products,Croissant,70.0,21.7,287.0,6.3,31.0,14.0
Baked products,Flatbread,69.0,38.6,354.0,7.5,56.0,10.9
Baked products,"Shortbread Cookies (Integral Flour, Sugar Free)",40.0,17.2,398.0,22.0,43.0,23.0
Baked products,Shortbread,60.0,32.2,364.0,5.5,53.7,14.6
Baked products,"Cookies (whole grain flour, sugar free)",50.0,23.4,273.0,10.0,46.8,5.6
Baked products,Cookies (pastries),70.0,46.2,460.0,7.0,66.0,18.0
Baked products,"Butter cookies (flour, butter, sugar)",55.0,29.1,549.0,7.0,53.0,18.0
Baked products,Oatmeal cookies,55.0,39.5,437.0,6.5,71.8,14.4
Baked products,Multi Grain Cookies,51.0,33.2,429.0,11.0,65.1,17.9
Baked products,Banana pie,47.0,17.1,257.0,4.7,36.4,10.3
Baked products,Pita,57.0,31.9,275.0,9.0,56.0,1.2
Baked products,Pizza,60.0,19.8,266.0,11.0,33.0,10.0
Baked products,Donuts,75.0,38.3,452.0,4.9,51.0,25.0
Baked products,Bakery products (wheat),90.0,33.9,201.0,7.7,37.7,1.4
Baked products,Wheat bread,70.0,34.3,265.0,9.0,49.0,3.2
Baked products,Rye bread,65.0,31.2,259.0,9.0,48.0,3.3
Baked products,Rice waffles,64.0,52.3,374.0,8.5,81.7,3.3
Baked products,Rice biscuits,85.0,58.6,310.0,6.0,69.0,1.0
Baked products,Rice cake,85.0,69.7,387.0,8.0,82.0,2.8
